"Año";"Periodo";"Comunidad autónoma";"Corporaciones locales";"Seguridad Social";"Estado"
"1995";"Trimestre 1";"5,7";"4,2";"2,1";"52,3"
"1995";"Trimestre 2";"5,7";"4,2";"2,1";"52,6"
"1995";"Trimestre 3";"5,7";"4";"2,2";"52,8"
"1995";"Trimestre 4";"5,8";"3,9";"2,3";"51,4"
"1996";"Trimestre 1";"5,9";"3,9";"2,3";"52,4"
"1996";"Trimestre 2";"6,1";"4";"2,3";"52,1"
"1996";"Trimestre 3";"6";"3,9";"2,5";"52,6"
"1996";"Trimestre 4";"6,3";"3,9";"2,8";"54,7"
"1997";"Trimestre 1";"6,4";"3,8";"2,8";"53,9"
"1997";"Trimestre 2";"6,7";"3,8";"2,9";"54,2"
"1997";"Trimestre 3";"6,5";"3,8";"3";"54,3"
"1997";"Trimestre 4";"6,6";"3,5";"3,1";"53,7"
"1998";"Trimestre 1";"6,6";"3,5";"3,1";"54,8"
"1998";"Trimestre 2";"6,6";"3,5";"3,2";"54,7"
"1998";"Trimestre 3";"6,4";"3,4";"3,3";"54,6"
"1998";"Trimestre 4";"6,5";"3,4";"3,3";"52,1"
"1999";"Trimestre 1";"6,5";"3,5";"3,3";"51,7"
"1999";"Trimestre 2";"6,5";"3,5";"3,3";"51,2"
"1999";"Trimestre 3";"6,2";"3,3";"3,2";"50,3"
"1999";"Trimestre 4";"6,3";"3,3";"3,2";"50,9"
"2000";"Trimestre 1";"6,2";"3,2";"3,1";"50"
"2000";"Trimestre 2";"6,2";"3,2";"3,1";"49,3"
"2000";"Trimestre 3";"6,1";"3,1";"3";"48,8"
"2000";"Trimestre 4";"6,1";"3,1";"2,9";"48,6"
"2001";"Trimestre 1";"6,1";"3";"2,9";"47,3"
"2001";"Trimestre 2";"6";"2,9";"2,8";"46,9"
"2001";"Trimestre 3";"6";"2,8";"2,7";"46,1"
"2001";"Trimestre 4";"6,2";"2,9";"2,7";"45"
"2002";"Trimestre 1";"6,1";"2,9";"2,6";"44,3"
"2002";"Trimestre 2";"6,1";"2,9";"2,6";"44,2"
"2002";"Trimestre 3";"6";"2,8";"2,5";"43,4"
"2002";"Trimestre 4";"6,2";"2,9";"2,5";"42,9"
"2003";"Trimestre 1";"6,1";"2,9";"2,4";"41,9"
"2003";"Trimestre 2";"6,2";"2,9";"2,4";"42"
"2003";"Trimestre 3";"6,1";"2,8";"2,4";"40,8"
"2003";"Trimestre 4";"6,1";"2,9";"2,3";"39,9"
"2004";"Trimestre 1";"6,1";"2,9";"2,3";"40,4"
"2004";"Trimestre 2";"6,1";"2,9";"2,2";"39,9"
"2004";"Trimestre 3";"6";"2,8";"2,2";"39"
"2004";"Trimestre 4";"6,1";"2,8";"2,1";"38,6"
"2005";"Trimestre 1";"6,3";"2,8";"2,1";"38,1"
"2005";"Trimestre 2";"6,2";"2,8";"2,1";"37,4"
"2005";"Trimestre 3";"6,1";"2,7";"2";"36,5"
"2005";"Trimestre 4";"6,2";"2,8";"2";"35,8"
"2006";"Trimestre 1";"6";"2,7";"1,9";"35,1"
"2006";"Trimestre 2";"5,9";"2,8";"1,9";"33,8"
"2006";"Trimestre 3";"5,8";"2,7";"1,9";"33,7"
"2006";"Trimestre 4";"5,9";"2,7";"1,8";"32,5"
"2007";"Trimestre 1";"5,8";"2,8";"1,8";"32,6"
"2007";"Trimestre 2";"5,7";"2,8";"1,7";"32,2"
"2007";"Trimestre 3";"5,5";"2,7";"1,6";"31,2"
"2007";"Trimestre 4";"5,8";"2,7";"1,6";"29,6"
"2008";"Trimestre 1";"5,9";"2,7";"1,6";"29"
"2008";"Trimestre 2";"6";"2,8";"1,6";"29,4"
"2008";"Trimestre 3";"6";"2,8";"1,5";"30,7"
"2008";"Trimestre 4";"6,7";"2,9";"1,5";"33,2"
"2009";"Trimestre 1";"7,2";"2,9";"1,6";"36,3"
"2009";"Trimestre 2";"8,1";"3";"1,6";"39,8"
"2009";"Trimestre 3";"8,4";"3,2";"1,6";"42,2"
"2009";"Trimestre 4";"8,7";"3,2";"1,6";"45,6"
"2010";"Trimestre 1";"9,5";"3,4";"1,6";"46,6"
"2010";"Trimestre 2";"10,4";"3,4";"1,6";"48,2"
"2010";"Trimestre 3";"10,7";"3,4";"1,6";"49,4"
"2010";"Trimestre 4";"11,6";"3,3";"1,6";"51,4"
"2011";"Trimestre 1";"12,2";"3,5";"1,6";"54,3"
"2011";"Trimestre 2";"13,1";"3,5";"1,6";"55,6"
"2011";"Trimestre 3";"13,3";"3,4";"1,6";"56"
"2011";"Trimestre 4";"13,7";"3,5";"1,6";"58,6"
"2012";"Trimestre 1";"14,3";"3,6";"1,6";"62,1"
"2012";"Trimestre 2";"16,5";"4,4";"1,6";"65,1"
"2012";"Trimestre 3";"16,5";"4,3";"1,7";"66,9"
"2012";"Trimestre 4";"18,3";"4,3";"1,7";"73,8"
"2013";"Trimestre 1";"18,9";"4,4";"1,7";"79,9"
"2013";"Trimestre 2";"19,4";"4,4";"1,7";"81,7"
"2013";"Trimestre 3";"19,7";"4,2";"1,7";"83,1"
"2013";"Trimestre 4";"20,6";"4,1";"1,7";"83,3"
"2014";"Trimestre 1";"22,1";"4,1";"1,7";"85,8"
"2014";"Trimestre 2";"22,4";"4,1";"1,7";"87,2"
"2014";"Trimestre 3";"22,7";"4";"1,7";"87,5"
"2014";"Trimestre 4";"23,1";"3,7";"1,7";"87,3"
"2015";"Trimestre 1";"23,2";"3,7";"1,7";"87,6"
"2015";"Trimestre 2";"23,9";"3,6";"1,6";"87,5"
"2015";"Trimestre 3";"23,9";"3,5";"1,6";"88,1"
"2015";"Trimestre 4";"24,4";"3,3";"1,6";"87,2"
"2016";"Trimestre 1";"24,5";"3,2";"1,6";"88,4"
"2016";"Trimestre 2";"25";"3,2";"1,6";"87,9"
"2016";"Trimestre 3";"24,7";"3,1";"1,6";"87,5"
"2016";"Trimestre 4";"24,9";"2,9";"1,5";"86,9"
"2017";"Trimestre 1";"24,8";"2,8";"1,5";"87,7"
"2017";"Trimestre 2";"25,1";"2,8";"1,5";"87,5"
"2017";"Trimestre 3";"24,8";"2,7";"2";"87"
"2017";"Trimestre 4";"24,8";"2,5";"2,4";"87,1"
"2018";"Trimestre 1";"24,7";"2,5";"2,3";"87,8"
"2018";"Trimestre 2";"24,8";"2,5";"3";"87,5"
"2018";"Trimestre 3";"24,5";"2,3";"2,9";"88"
"2018";"Trimestre 4";"24,4";"2,1";"3,4";"87"
"2019";"Trimestre 1";"24,4";"2,1";"3,5";"87,7"
"2019";"Trimestre 2";"24,5";"2,1";"4";"87,4"
"2019";"Trimestre 3";"24,1";"2";"4,2";"86,7"
"2019";"Trimestre 4";"23,7";"1,9";"4,4";"85,3"
"2020";"Trimestre 1";"24,2";"1,9";"4,5";"88,7"
"2020";"Trimestre 2";"26,1";"2,1";"5,9";"99,1"
"2020";"Trimestre 3";"26,3";"2,1";"6,5";"102,7"
"2020";"Trimestre 4";"27,1";"2";"7,6";"107,5"
"2021";"Trimestre 1";"27,7";"2";"7,7";"112,2"
"2021";"Trimestre 2";"26,9";"2";"7,9";"109,7"
"2021";"Trimestre 3";"26,6";"1,9";"7,8";"109"
"2021";"Trimestre 4";"25,9";"1,8";"8,1";"106,2"
"2022";"Trimestre 1";"25,1";"1,8";"7,9";"105,8"
"2022";"Trimestre 2";"24,9";"1,8";"7,8";"104,4"
;;;;;
;;;;;
"Métrica":"Comunidad autónoma"
"Fuente":"Banco de España"
"Clasificación":""
"Unidad":"Porcentaje del PIB"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;;;;
;;;;;
"Métrica":"Corporaciones locales"
"Fuente":"Banco de España"
"Clasificación":""
"Unidad":"Porcentaje del PIB"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;;;;
;;;;;
"Métrica":"Seguridad Social"
"Fuente":"Banco de España"
"Clasificación":""
"Unidad":"Porcentaje del PIB"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;;;;
;;;;;
"Métrica":"Estado"
"Fuente":"Banco de España"
"Clasificación":""
"Unidad":"Porcentaje del PIB"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;;;;
;;;;;
"Url":"https://www.epdata.es/deuda-publica-distintas-administraciones-pib/efac8ae7-6535-4990-95a4-3544a9c05f3f"
"Titulo":"Deuda pública de distintas administraciones, en % del PIB"
"Subtitulo":""
