"Año";"Periodo";"Deuda pública"
"2017";"Trimestre 3";"1.136.975,49"
"2017";"Trimestre 4";"1.145.097,34"
"2018";"Trimestre 1";"1.162.129,39"
"2018";"Trimestre 2";"1.165.971,94"
"2018";"Trimestre 3";"1.177.748,75"
"2018";"Trimestre 4";"1.173.350,13"
"2019";"Trimestre 1";"1.196.667,97"
"2019";"Trimestre 2";"1.207.433,39"
"2019";"Trimestre 3";"1.203.820,51"
"2019";"Trimestre 4";"1.188.838,73"
"2020";"Trimestre 1";"1.224.538,23"
"2020";"Trimestre 2";"1.291.030,84"
"2020";"Trimestre 3";"1.308.203,86"
"2020";"Trimestre 4";"1.345.784,33"
"2021";"Trimestre 1";"1.393.074,58"
"2021";"Trimestre 2";"1.424.691,21"
"2021";"Trimestre 3";"1.432.228"
"2021";"Trimestre 4";"1.427.235"
"2022";"Trimestre 1";"1.453.853,22"
"2022";"Trimestre 2";"1.475.367,87"
;;
;;
"Métrica":"Deuda pública"
"Fuente":"Banco de España"
"Clasificación":""
"Unidad":"Euros"
"Escala":"Millones"
"EscalaFactorPotencia10":"6"
"SonDatosNumericos":"True"
;;
;;
"Url":"https://www.epdata.es/evolucion-deuda-publica-trimestral-espana/abc4e201-1ddf-4092-93de-e722f1e686b1"
"Titulo":"Evolución de la deuda pública trimestral en España"
"Subtitulo":""
